,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,set(), Folk/Acoustic,hip hop,Dance/Electronic, jazz, metal,pop,R&B,latin,country,Folk/Acoustic, Dance/Electronic,World/Traditional, R&B,metal, hip hop, blues, classical, pop, country, easy listening,easy listening, latin,rock, rock,cat,cluster
10,Red Hot Chili Peppers,Otherside,0.38360375701206534,0.0,1999,0.8764044943820225,0.3888888888888889,0.7839211947886877,0.0,0.8523075402707777,1.0,0.06186685962373373,0.0032180960936936463,0.00020507614213197972,0.0650631389055923,0.5079687667130175,0.41907552773947176,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1111111111111111,1
11,Céline Dion,That's the Way It Is,0.34588275234004945,0.0,1999,0.7191011235955056,0.5969267139479906,0.8803092892702045,0.8181818181818182,0.7456270382448859,1.0,0.0365412445730825,0.15777031679311723,0.0,0.11605532170775706,0.5764252861268584,0.21892569216081476,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,1
12,Fuel,Hemorrhage (In My Hands),0.33373928319313695,0.0,2000,0.550561797752809,0.21749408983451538,0.8220527486495074,0.09090909090909091,0.8212273940112659,1.0,0.031114327062228657,0.00011045299251788559,0.0003461928934010152,0.2627781118460613,0.3143651727457482,0.6100495915985997,"rock, pop, metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2222222222222222,1
13,Savage Garden,Crash and Burn,0.45390762664827317,0.0,1999,0.6067415730337079,0.5342789598108747,0.5847897468488508,0.36363636363636365,0.5957110386401818,1.0,0.00868306801736614,0.19363167800022296,1.6243654822335024e-06,0.08021647624774506,0.18707883196063751,0.2785284289805877,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,1
14,Destiny's Child,"Independent Women, Pt. 1",0.2913489570142208,0.0,2001,0.7303370786516854,0.710401891252955,0.5794936977015147,0.5454545454545454,0.8267615377013539,0.0,0.3306801736613604,0.3708892633953455,3.7461928934010152e-06,0.1773902585688515,0.9507968766713019,0.2515049856794314,"pop, R&B",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,1
15,Gabrielle,Rise,0.2858524677620128,0.0,2001,0.6741573033707865,0.5070921985815604,0.45132930833598134,0.7272727272727273,0.5448660934874987,1.0,0.005065123010130247,0.32273257834580354,8.964467005076143e-06,0.08238123872519544,0.6341854743822869,0.561246950249284,"pop, R&B",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,1
16,Creed,With Arms Wide Open,0.4359470397094405,0.0,1999,0.7191011235955056,0.3321513002364066,0.51276347844508,0.0,0.5979839905128965,1.0,0.012662807525325621,0.004334921342714939,0.0009035532994923857,0.11485267588695129,0.11006524762006631,0.5226543439058025,"pop, rock, metal",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7777777777777778,1
17,Missy Elliott,One Minute Man (feat. Ludacris),0.37717232571548664,1.0,2001,0.6404494382022472,0.58274231678487,0.6504607562758183,0.8181818181818182,0.597638106532266,1.0,0.5531837916063677,0.027234961999252443,3.015228426395939e-06,0.15694527961515334,0.5689378543159695,0.22422297655669884,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1111111111111111,3
18,iio,Rapture (feat.Nadia Ali),0.37878894020143017,0.0,2006,0.6067415730337079,0.6288416075650118,0.8474737845567206,0.7272727272727273,0.5984286984879928,1.0,0.0262301013024602,0.07395719260051017,0.01878172588832487,0.21346963319302467,0.6020964809070488,0.42380927124217677,Dance/Electronic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,1
19,Michael Jackson,You Rock My World,0.6055110387825815,0.0,2001,0.7191011235955056,0.8569739952718676,0.6546975955936871,0.36363636363636365,0.8588793359027571,0.0,0.29269175108538353,0.03891551964956688,0.00023045685279187816,0.2808177991581479,0.9807466039148572,0.23192028216824018,"pop, R&B",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,1
20,P.O.D.,Youth of the Nation,0.38593976494425375,0.0,2001,0.7752808988764045,0.5130023640661938,0.8527698337040568,0.7272727272727273,0.6414171360806403,1.0,0.07036903039073808,0.008525577552345292,0.010761421319796955,0.4431749849669272,0.5122472991763826,0.25092818500053043,"rock, metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1111111111111111,1
21,Jennifer Lopez,Love Don't Cost a Thing,0.29159953225954205,0.0,2001,0.7528089887640449,0.7765957446808511,0.8337040567736468,0.36363636363636365,0.7608953453898606,0.0,0.0859261939218524,0.0031053889584713146,3.5939086294416242e-06,0.5429945880938063,0.6919456626377153,0.2490055160708603,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,3
22,112,Peaches & Cream,0.2157991733711262,0.0,2001,0.7078651685393258,0.6477541371158393,0.49263849168520285,0.36363636363636365,0.7045656685443226,0.0,0.5622286541244574,0.0028184980688144685,0.0,0.038123872519542995,0.7807252112525405,0.9536636787949506,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,3
23,DB Boulevard,Point Of View - Radio Edit,0.3183814455766733,0.0,2018,0.0,0.6465721040189126,0.6991844084313102,0.5454545454545454,0.6749678822017986,1.0,0.0099493487698987,0.00289022079122868,0.07573604060913705,0.05652435357787133,0.25339608514279605,0.45737641879707225,Dance/Electronic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,1
24,Destiny's Child,"Independent Women, Pt. 1",0.2913489570142208,0.0,2001,0.7303370786516854,0.710401891252955,0.5794936977015147,0.5454545454545454,0.8267615377013539,0.0,0.3306801736613604,0.3708892633953455,3.7461928934010152e-06,0.1773902585688515,0.9507968766713019,0.2515049856794314,"pop, R&B",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,1
25,Musiq Soulchild,Love,0.5164167201047566,0.0,2000,0.0,0.5200945626477541,0.3496451647071285,0.09090909090909091,0.5235201106828737,0.0,0.04829956584659914,0.3503970569912851,0.0,0.07949488875526156,0.3218526045566371,0.263332714543333,"pop, R&B",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,1
26,Gabrielle,Rise,0.2858524677620128,0.0,2001,0.6741573033707865,0.5070921985815604,0.45132930833598134,0.7272727272727273,0.5448660934874987,1.0,0.005065123010130247,0.32273257834580354,8.964467005076143e-06,0.08238123872519544,0.6341854743822869,0.561246950249284,"pop, R&B",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,1
27,Nelly,Dilemma,0.4746380130730225,1.0,2002,0.8651685393258427,0.706855791962175,0.5265332062281538,0.18181818181818182,0.6146852455776263,0.0,0.211287988422576,0.23256687016793776,0.000166497461928934,0.2122669873722189,0.6085142796020965,0.717155510766946,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,3
28,Avril Lavigne,Complicated,0.3543241743141513,0.0,2002,0.8764044943820225,0.5390070921985816,0.7637962080288105,0.45454545454545453,0.7222057515564779,1.0,0.04106367583212736,0.058588037797464874,7.85786802030457e-06,0.3349368610944077,0.4159803187506685,0.1191259149252148,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,1
29,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),0.5693339009446418,1.0,2002,0.7640449438202247,0.6134751773049646,0.7457896409278678,0.5454545454545454,0.800424943176203,1.0,0.5115774240231549,0.014529794028734992,0.0,0.7534576067348167,0.5133169322922237,0.1722247268484141,"hip hop, pop",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0
30,Aaliyah,Rock The Boat,0.4365559644991459,0.0,2019,0.0,0.6052009456264775,0.7044804575786463,0.45454545454545453,0.7562506176499654,1.0,0.01881331403762663,0.0704735175118199,0.002903553299492386,0.20625375826819003,0.4063536207080971,0.21858093773204626,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,3
31,Marilyn Manson,Tainted Love,0.23555689674683278,0.0,2003,0.6741573033707865,0.58274231678487,0.8697171909755322,0.7272727272727273,0.6292617847613401,1.0,0.08972503617945009,0.0010766605244693337,1.8578680203045686e-06,0.32531569452796144,0.5336399614932079,0.5436379548106502,"rock, metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1
32,Britney Spears,Overprotected - Radio Edit,0.2306369999946113,0.0,2001,0.6853932584269663,0.6536643026004729,0.8887829679059422,0.0,0.9281549560233224,0.0,0.08954413892908829,0.03901798068158718,0.0,0.47444377630787726,0.8630869611723179,0.23849713588628413,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
33,Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,0.33841129905751377,1.0,2001,0.6179775280898876,0.6713947990543735,0.7818027751297533,0.5454545454545454,0.7814507362387587,0.0,0.54232995658466,0.08645743850698703,0.0,0.04858689116055322,0.558241523157557,0.1972260528269863,"hip hop, pop",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2222222222222222,0
34,B2K,Uh Huh,0.29716876916361756,0.0,2002,0.550561797752809,0.8581560283687943,0.6631712742294249,0.18181818181818182,0.7688012649471292,1.0,0.08248914616497831,0.0902484966917382,3.756345177664975e-06,0.04533974744437764,0.9304738474703177,0.26307414872175666,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,3
